,idMunicipio,idMacroRegiao,idRegiaoSaude,municipio,lat,lon,macroRegiao,regiaoSaude,qtdSuspeito,qtdObito,qtdConfirmado
0,230010,8,19,ABAIARA,-7.35542,-39.04079,CARIRI,19ª REGIÃO BREJO SANTO,2.0,0.0,0.0
1,230200,8,19,BARRO,-7.17277,-38.77582,CARIRI,19ª REGIÃO BREJO SANTO,5.0,0.0,0.0
2,230250,8,19,BREJO SANTO,-7.48943,-38.98571,CARIRI,19ª REGIÃO BREJO SANTO,2.0,0.0,0.0
3,230810,8,19,MAURITI,-7.38689,-38.77141,CARIRI,19ª REGIÃO BREJO SANTO,9.0,0.0,1.0
4,230830,8,19,MILAGRES,-7.30813,-38.94079,CARIRI,19ª REGIÃO BREJO SANTO,6.0,0.0,0.0
5,231060,8,19,PENAFORTE,-7.82412,-39.07311,CARIRI,19ª REGIÃO BREJO SANTO,2.0,0.0,0.0
6,231110,8,19,PORTEIRAS,-7.53418,-39.11768,CARIRI,19ª REGIÃO BREJO SANTO,2.0,0.0,0.0
7,230030,8,18,ACOPIARA,-6.09062,-39.45153,CARIRI,18ª REGIÃO IGUATU,10.0,0.0,1.0
8,230330,8,18,CARIUS,-6.53571,-39.49147,CARIRI,18ª REGIÃO IGUATU,8.0,1.0,2.0
9,230360,8,18,CATARINA,-6.12531,-39.87328,CARIRI,18ª REGIÃO IGUATU,4.0,0.0,1.0
10,230550,8,18,IGUATU,-6.35576,-39.29265,CARIRI,18ª REGIÃO IGUATU,23.0,4.0,8.0
11,230740,8,18,JUCAS,-6.52192,-39.52327,CARIRI,18ª REGIÃO IGUATU,7.0,0.0,4.0
12,230850,8,18,MOMBACA,-5.73926,-39.62328,CARIRI,18ª REGIÃO IGUATU,8.0,0.0,4.0
13,231090,8,18,PIQUET CARNEIRO,-5.8022,-39.41734,CARIRI,18ª REGIÃO IGUATU,4.0,0.0,0.0
14,231135,8,18,QUIXELO,-6.25271,-39.20119,CARIRI,18ª REGIÃO IGUATU,8.0,0.0,0.0
15,231190,8,18,SABOEIRO,-6.53859,-39.90407,CARIRI,18ª REGIÃO IGUATU,3.0,0.0,0.0
16,230130,8,20,ARARIPE,-7.20762,-40.04113,CARIRI,20ª REGIÃO CRATO,3.0,0.0,0.0
17,230270,8,20,CAMPOS SALES,-7.07141,-40.37243,CARIRI,20ª REGIÃO CRATO,5.0,0.0,0.0
18,230420,8,20,CRATO,-7.23384,-39.40576,CARIRI,20ª REGIÃO CRATO,40.0,0.0,4.0
19,230430,8,20,FARIAS BRITO,-6.92514,-39.55949,CARIRI,20ª REGIÃO CRATO,6.0,1.0,1.0
20,230920,8,20,NOVA OLINDA,-7.08842,-39.67514,CARIRI,20ª REGIÃO CRATO,2.0,0.0,0.0
21,231120,8,20,POTENGI,-7.08774,-40.02277,CARIRI,20ª REGIÃO CRATO,4.0,0.0,0.0
22,231195,8,20,SALITRE,-7.28418,-40.45441,CARIRI,20ª REGIÃO CRATO,1.0,1.0,1.0
23,231210,8,20,SANTANA DO CARIRI,-7.18638,-39.73554,CARIRI,20ª REGIÃO CRATO,2.0,0.0,0.0
24,231325,8,20,TARRAFAS,-6.68401,-39.75695,CARIRI,20ª REGIÃO CRATO,2.0,0.0,0.0
25,231400,8,20,VARZEA ALEGRE,-6.78672,-39.29096,CARIRI,20ª REGIÃO CRATO,12.0,0.0,1.0
26,230180,8,17,BAIXIO,-6.7248,-38.71684,CARIRI,17ª REGIÃO ICÓ,2.0,0.0,0.0
27,230380,8,17,CEDRO,-6.60407,-39.05746,CARIRI,17ª REGIÃO ICÓ,4.0,0.0,0.0
28,230540,8,17,ICO,-6.40068,-38.85746,CARIRI,17ª REGIÃO ICÓ,14.0,0.0,3.0
29,230570,8,17,IPAUMIRIM,-6.78723,-38.71819,CARIRI,17ª REGIÃO ICÓ,6.0,0.0,0.0
30,230750,8,17,LAVRAS DA MANGABEIRA,-6.75203,-38.95881,CARIRI,17ª REGIÃO ICÓ,3.0,0.0,1.0
31,230950,8,17,OROS,-6.24011,-38.9083,CARIRI,17ª REGIÃO ICÓ,2.0,0.0,0.0
32,231370,8,17,UMARI,-6.64214,-38.7,CARIRI,17ª REGIÃO ICÓ,1.0,0.0,0.0
33,230190,8,21,BARBALHA,-7.30678,-39.30254,CARIRI,21ª REGIÃO JUAZEIRO DO NORTE,39.0,0.0,0.0
34,230320,8,21,CARIRIACU,-7.03876,-39.2835,CARIRI,21ª REGIÃO JUAZEIRO DO NORTE,8.0,0.0,0.0
35,230480,8,21,GRANJEIRO,-6.88638,-39.21734,CARIRI,21ª REGIÃO JUAZEIRO DO NORTE,3.0,0.0,0.0
36,230710,8,21,JARDIM,-7.57632,-39.29231,CARIRI,21ª REGIÃO JUAZEIRO DO NORTE,3.0,0.0,0.0
37,230730,8,21,JUAZEIRO DO NORTE,-7.20796,-39.30932,CARIRI,21ª REGIÃO JUAZEIRO DO NORTE,56.0,0.0,3.0
38,230840,8,21,MISSAO VELHA,-7.24333,-39.13926,CARIRI,21ª REGIÃO JUAZEIRO DO NORTE,2.0,0.0,0.0
39,230015,1,2,ACARAPE,-4.22124,-38.70508,FORTALEZA,3ª REGIÃO MARACANAÚ,6.0,0.0,0.0
40,230195,1,2,BARREIRA,-4.28554,-38.63926,FORTALEZA,3ª REGIÃO MARACANAÚ,4.0,0.0,1.0
41,230495,1,2,GUAIÚBA,-4.03723,-38.63571,FORTALEZA,3ª REGIÃO MARACANAÚ,4.0,0.0,0.0
42,230765,1,2,MARACANAU,-3.87277,-38.62209,FORTALEZA,3ª REGIÃO MARACANAÚ,179.0,4.0,39.0
43,230770,1,2,MARANGUAPE,-3.88791,-38.68469,FORTALEZA,3ª REGIÃO MARACANAÚ,70.0,2.0,7.0
44,230970,1,2,PACATUBA,-3.98384,-38.61887,FORTALEZA,3ª REGIÃO MARACANAÚ,48.0,0.0,6.0
45,231160,1,2,REDENCAO,-4.22226,-38.72514,FORTALEZA,3ª REGIÃO MARACANAÚ,6.0,0.0,2.0
46,230075,1,5,AMONTADA,-3.49011,-39.57395,FORTALEZA,6ª REGIÃO DE ITAPIPOCA,3.0,0.0,1.0
47,230640,1,5,ITAPIPOCA,-3.35712,-39.82582,FORTALEZA,6ª REGIÃO DE ITAPIPOCA,29.0,0.0,2.0
48,230837,1,5,MIRAIMA,-3.56836,-39.9687,FORTALEZA,6ª REGIÃO DE ITAPIPOCA,3.0,0.0,0.0
49,231350,1,5,TRAIRI,-3.27344,-39.26802,FORTALEZA,6ª REGIÃO DE ITAPIPOCA,8.0,0.0,1.0
50,231355,1,5,TURURU,-3.57531,-39.43571,FORTALEZA,6ª REGIÃO DE ITAPIPOCA,6.0,0.0,0.0
51,231375,1,5,UMIRIM,-3.67311,-39.35017,FORTALEZA,6ª REGIÃO DE ITAPIPOCA,3.0,0.0,0.0
52,231380,1,5,URUBURETAMA,-3.62175,-39.50508,FORTALEZA,6ª REGIÃO DE ITAPIPOCA,5.0,0.0,0.0
53,230090,1,3,APUIARES,-3.94282,-39.42582,FORTALEZA,2ª REGIÃO CAUCAIA,2.0,0.0,0.0
54,230370,1,3,CAUCAIA,-3.73503,-38.65186,FORTALEZA,2ª REGIÃO CAUCAIA,317.0,3.0,42.0
55,230630,1,3,ITAPAJE,-3.68537,-39.58503,FORTALEZA,2ª REGIÃO CAUCAIA,4.0,0.0,1.0
56,231020,1,3,PARACURU,-3.4061,-39.02514,FORTALEZA,2ª REGIÃO CAUCAIA,4.0,0.0,1.0
57,231025,1,3,PARAIPABA,-3.43706,-39.14248,FORTALEZA,2ª REGIÃO CAUCAIA,3.0,0.0,0.0
58,231070,1,3,PENTECOSTE,-3.78909,-39.26887,FORTALEZA,2ª REGIÃO CAUCAIA,13.0,0.0,0.0
59,231240,1,3,SAO GONCALO DO AMARANTE,-3.60441,-38.96768,FORTALEZA,2ª REGIÃO CAUCAIA,16.0,0.0,0.0
60,231260,1,3,SAO LUÍS DO CURU,-3.6687,-39.23943,FORTALEZA,2ª REGIÃO CAUCAIA,10.0,0.0,1.0
61,231335,1,3,TEJUCUOCA,-3.98672,-39.57514,FORTALEZA,2ª REGIÃO CAUCAIA,2.0,0.0,0.0
62,230100,1,1,AQUIRAZ,-3.90085,-38.38808,FORTALEZA,1ª REGIÃO FORTALEZA,69.0,0.0,30.0
63,230428,1,1,EUSEBIO,-3.8874,-38.45034,FORTALEZA,1ª REGIÃO FORTALEZA,77.0,4.0,10.0
64,230440,1,1,FORTALEZA,-3.71701,-38.53926,FORTALEZA,1ª REGIÃO FORTALEZA,6384.0,93.0,1947.0
65,230625,1,1,ITAITINGA,-3.96836,-38.52361,FORTALEZA,1ª REGIÃO FORTALEZA,58.0,1.0,8.0
66,230120,1,4,ARACOIABA,-4.36938,-38.80864,FORTALEZA,4ª REGIÃO  BATURITÉ,21.0,0.0,1.0
67,230140,1,4,ARATUBA,-4.41768,-39.04045,FORTALEZA,4ª REGIÃO  BATURITÉ,1.0,0.0,0.0
68,230210,1,4,BATURITÉ,-4.32395,-38.88418,FORTALEZA,4ª REGIÃO  BATURITÉ,15.0,0.0,1.0
69,230290,1,4,CAPISTRANO,-4.4687,-38.90085,FORTALEZA,4ª REGIÃO  BATURITÉ,3.0,1.0,1.0
70,230510,1,4,GUARAMIRANGA,-4.25813,-38.92666,FORTALEZA,4ª REGIÃO  BATURITÉ,2.0,0.0,0.0
71,230650,1,4,ITAPIUNA,-4.55881,-38.92006,FORTALEZA,4ª REGIÃO  BATURITÉ,4.0,0.0,0.0
72,230910,1,4,MULUNGU,-4.30339,-38.9913,FORTALEZA,4ª REGIÃO  BATURITÉ,11.0,0.0,1.0
73,230980,1,4,PACOTI,-4.22175,-38.92073,FORTALEZA,4ª REGIÃO  BATURITÉ,3.0,0.0,0.0
74,230220,1,22,BEBERIBE,-4.17463,-38.12514,FORTALEZA,22ª REGIÃO CASCAVEL,16.0,0.0,4.0
75,230350,1,22,CASCAVEL,-4.12666,-38.23859,FORTALEZA,22ª REGIÃO CASCAVEL,39.0,0.0,1.0
76,230395,1,22,CHOROZINHO,-4.30017,-38.49214,FORTALEZA,22ª REGIÃO CASCAVEL,7.0,0.0,0.0
77,230523,1,22,HORIZONTE,-4.08486,-38.65085,FORTALEZA,22ª REGIÃO CASCAVEL,77.0,1.0,10.0
78,230945,1,22,OCARA,-4.48791,-38.59147,FORTALEZA,22ª REGIÃO CASCAVEL,10.0,0.0,0.0
79,230960,1,22,PACAJUS,-4.17023,-38.45644,FORTALEZA,22ª REGIÃO CASCAVEL,37.0,0.0,1.0
80,231085,1,22,PINDORETAMA,-4.02294,-38.30305,FORTALEZA,22ª REGIÃO CASCAVEL,20.0,0.0,1.0
81,230020,2,12,ACARAU,-2.88469,-40.1187,SOBRAL,12ª REGIÃO ACARAÚ,28.0,0.0,0.0
82,230230,2,12,BELA CRUZ,-3.05034,-40.16734,SOBRAL,12ª REGIÃO ACARAÚ,8.0,0.0,0.0
83,230425,2,12,CRUZ,-2.91734,-40.16972,SOBRAL,12ª REGIÃO ACARAÚ,10.0,0.0,0.0
84,230655,2,12,ITAREMA,-2.91887,-39.90915,SOBRAL,12ª REGIÃO ACARAÚ,16.0,0.0,1.0
85,230725,2,12,JIJOCA DE JERICOACOARA,-2.89045,-40.44299,SOBRAL,12ª REGIÃO ACARAÚ,8.0,0.0,0.0
