,data,municipio,macroRegiao,regiaoSaude,Confirmado,Suspeito,Óbito,ConfirmadoCum,SuspeitoCum,ÓbitoCum,lat,lon
0,2020-02-07,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
1,2020-02-08,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
2,2020-02-09,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
3,2020-02-10,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
4,2020-02-11,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
5,2020-02-12,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
6,2020-02-13,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
7,2020-02-14,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
8,2020-02-15,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
9,2020-02-16,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
10,2020-02-17,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
11,2020-02-18,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
12,2020-02-19,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
13,2020-02-20,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
14,2020-02-21,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
15,2020-02-22,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
16,2020-02-23,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
17,2020-02-24,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
18,2020-02-25,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
19,2020-02-26,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
20,2020-02-27,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
21,2020-02-28,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
22,2020-02-29,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
23,2020-03-01,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
24,2020-03-02,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
25,2020-03-03,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
26,2020-03-04,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
27,2020-03-05,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
28,2020-03-06,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
29,2020-03-07,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
30,2020-03-08,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
31,2020-03-09,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
32,2020-03-10,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
33,2020-03-11,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
34,2020-03-12,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
35,2020-03-13,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
36,2020-03-14,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
37,2020-03-15,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
38,2020-03-16,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
39,2020-03-17,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
40,2020-03-18,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
41,2020-03-19,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,0.0,0.0,-7.35542,-39.04079
42,2020-03-20,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,1.0,0.0,0.0,1.0,0.0,-7.35542,-39.04079
43,2020-03-21,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,1.0,0.0,-7.35542,-39.04079
44,2020-03-22,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,1.0,0.0,-7.35542,-39.04079
45,2020-03-23,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,1.0,0.0,-7.35542,-39.04079
46,2020-03-24,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,1.0,0.0,-7.35542,-39.04079
47,2020-03-25,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,1.0,0.0,-7.35542,-39.04079
48,2020-03-26,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,1.0,0.0,-7.35542,-39.04079
49,2020-03-27,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,1.0,0.0,-7.35542,-39.04079
50,2020-03-28,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,1.0,0.0,-7.35542,-39.04079
51,2020-03-29,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,1.0,0.0,0.0,2.0,0.0,-7.35542,-39.04079
52,2020-03-30,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,2.0,0.0,-7.35542,-39.04079
53,2020-03-31,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,2.0,0.0,-7.35542,-39.04079
54,2020-04-01,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,2.0,0.0,-7.35542,-39.04079
55,2020-04-02,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,1.0,0.0,0.0,3.0,0.0,-7.35542,-39.04079
56,2020-04-03,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,3.0,0.0,-7.35542,-39.04079
57,2020-04-04,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,3.0,0.0,-7.35542,-39.04079
58,2020-04-05,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,3.0,0.0,-7.35542,-39.04079
59,2020-04-06,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,3.0,0.0,-7.35542,-39.04079
60,2020-04-07,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,1.0,0.0,0.0,4.0,0.0,-7.35542,-39.04079
61,2020-04-08,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,4.0,0.0,-7.35542,-39.04079
62,2020-04-09,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,4.0,0.0,-7.35542,-39.04079
63,2020-04-10,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,4.0,0.0,-7.35542,-39.04079
64,2020-04-11,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,4.0,0.0,-7.35542,-39.04079
65,2020-04-12,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,4.0,0.0,-7.35542,-39.04079
66,2020-04-13,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,4.0,0.0,-7.35542,-39.04079
67,2020-04-14,ABAIARA,CARIRI,19ª REGIÃO BREJO SANTO,0.0,0.0,0.0,0.0,4.0,0.0,-7.35542,-39.04079
68,2020-02-07,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
69,2020-02-08,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
70,2020-02-09,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
71,2020-02-10,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
72,2020-02-11,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
73,2020-02-12,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
74,2020-02-13,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
75,2020-02-14,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
76,2020-02-15,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
77,2020-02-16,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
78,2020-02-17,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
79,2020-02-18,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
80,2020-02-19,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
81,2020-02-20,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
82,2020-02-21,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
83,2020-02-22,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
84,2020-02-23,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
85,2020-02-24,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
86,2020-02-25,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
87,2020-02-26,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
88,2020-02-27,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
89,2020-02-28,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
90,2020-02-29,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
91,2020-03-01,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
92,2020-03-02,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
93,2020-03-03,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
94,2020-03-04,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
95,2020-03-05,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
96,2020-03-06,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
97,2020-03-07,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
98,2020-03-08,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
99,2020-03-09,ACARAPE,FORTALEZA,3ª REGIÃO MARACANAÚ,0.0,0.0,0.0,0.0,0.0,0.0,-4.22124,-38.70508
